,Date,Time,Day,Duration (hrs),avgCCV,maxCCV,Followers,Views,Title
0,2022-06-01,00:53:00,Wednesday,2.5,64,85,-1,0,LAST DAY OF ASIAN MONTH GET IN HERE
1,2022-05-24,23:09:00,Tuesday,2.9,69,94,1,0,INSANE REACT CONTENT WITH MAX HOLY SH1T (SPONSORED BY VOODOO RANGER)
2,2022-05-20,21:52:00,Friday,2.9,61,89,2,0,SPOOKY GAME STREAM NO BABIES ALLOWED
3,2022-05-18,23:05:00,Wednesday,3.3,86,121,8,0,L00KING FOR AN E-GIRL! COME HELP
4,2022-05-13,23:27:00,Friday,6.0,71,90,1,0,FRIDAY NIGHT CHATTING MAYBE SCARY GAME TOO?
5,2022-05-12,20:33:00,Thursday,2.9,122,380,95,0,GET IN HERE HURRY
6,2022-05-10,14:37:00,Tuesday,1.8,65,83,2,0,HELP ME MAKE YOUTUBE VIDEO
7,2022-05-06,20:22:00,Friday,1.5,75,90,-2,0,CAUTION: CONSTRUCTION ZONE (BUFF MEN ONLY)
8,2022-05-04,21:05:00,Wednesday,2.0,98,117,5,0,doin MAN SH1T today
9,2022-05-01,23:30:00,Sunday,2.4,109,133,6,0,SPOOKY GAME NIGHT (PART 2)
10,2022-05-01,00:36:00,Sunday,3.6,197,509,21,0,SPOOKY GAME NIGHT
11,2022-04-30,00:58:00,Saturday,2.4,285,496,27,0,Late night shinanigans
12,2022-04-25,23:07:00,Monday,6.8,173,433,66,0,Afterhours w your favorite daily streamer
13,2022-04-19,20:23:00,Tuesday,2.9,52,75,64,0,washing my eyeballs
14,2022-04-18,21:15:00,Monday,1.8,73,86,-9,0,HELP ME DO MY HOMEWORK
15,2022-04-01,01:16:00,Friday,1.8,56,62,-2,0,AFTER HOURS STREAM
16,2022-03-26,23:54:00,Saturday,2.2,73,90,-3,0,IAN CHECKIN IN
17,2022-03-08,11:51:00,Tuesday,2.0,107,131,82,0,Get in here! Uploading
18,2022-03-08,01:04:00,Tuesday,2.3,171,314,19,0,back from getting milk
19,2022-02-01,02:10:00,Tuesday,2.7,120,224,26,0,completely legit stream (sponsored by voodoo ranger)
20,2022-01-24,03:24:00,Monday,1.2,49,69,4,0,avoiding IRS audit tonight
21,2022-01-21,19:13:00,Friday,5.5,70,83,3,0,"BIRTHDAY TODAY, IM OLD"
22,2022-01-19,21:05:00,Wednesday,2.1,73,89,-2,0,GET IN NOW ITS SO CHILL
23,2022-01-18,23:39:00,Tuesday,1.8,63,82,1,0,ACTUAL chill night stream
24,2022-01-16,22:14:00,Sunday,2.8,85,111,0,0,chill night hangout
25,2022-01-13,20:07:00,Thursday,3.0,64,74,-5,0,IM A DOCTOR NOW
